Date,Time,Site ,Sites_name,Project,Team_members,Coordinates_DD_Lat_start,Coordinates_DD_Long_start,Coordinates_DD_Lat_end,Coordinates_DD_Long_end,Comments,,,,,,,,,,,,,,,
12.11.2023,17:21,Maskali / Moucha,Sunken Buoy,3D Mapping,"Anders, Devis, Jonny, Gabi",11.695854,43.145544,11.695467,43.146025,-,,,,,,,,,,,,,,,
,,,,MP,"Guilhem, Manon, Ibrahim",11.69921667,43.1435,-,-,-,,,,,,,,,,,,,,,
,,,,Symbionts,"Osama, Mustafa",11.69921667,43.1435,-,-,-,,,,,,,,,,,,,,,
13.11.2023,12:35,Kadda Dabali,Japenese Garden,3D Mapping,"Anders, Devis, Jonny, Gabi",12.472562,43.432745,12.472107,43.433253,-,,,,,,,,,,,,,,,
,,,,SG / MP,"Guilhem, Manon, Ibrahim",12.47263333,43.43271667,-,-,"80-100% hard coral cover at 3 - 6m depth; mostly Pocillopora damicornis / verrucosa, some Porites sp., some Acropora sp.; 10/20% bleached (Porites, P. damicornis, Acropora, Sinularis, Pltygira); 31C; lots of waves and currents, very hard condition to sample (we only managed to collect 15 SPIS and 10 Pver).",,,,,,,,,,,,,,,
,,,,Symbionts,"Osama, Mustafa",12.47263333,43.43271667,-,-,-,,,,,,,,,,,,,,,
13.11.2023,16:30,Kadda Dabali,Kadda Dabali,3D Mapping,"Anders, Devis, Jonny, Gabi",12.465301,43.43419,12.465226,43.434361,,,,,,,,,,,,,,,,
,,,,SG / MP,"Guilhem, Manon, Ibrahim",12.47263333,43.43271667,-,-,"100% hard coral cover; 5/10% bleached; we finished the sampling for SPIS, Pver, and did Porites sp.",,,,,,,,,,,,,,,
,,,,Symbionts,"Osama, Mustafa",12.47263333,43.43271667,-,-,,,,,,,,,,,,,,,,
14.11.2023,8:14,Hamra,Protected side,3D Mapping,"Anders, Devis, Jonny, Gabi",12.46229,43.36494,12.461997,43.36407,-,,,,,,,,,,,,,,,
,,,,SG / MP,"Guilhem, Manon, Ibrahim",12.4624,43.36455,-,-,"we dove to the Red Sea facing side of the island; we collected Pver; no SPIS alive; 20/30% hard coral cover; 50% coral bleaching; mostly Pver, rare Pocillopora damicornis.",,,,,,,,,,,,,,,
,,,,Symbionts,"Osama, Mustafa",12.4624,43.36455,-,-,-,,,,,,,,,,,,,,,
14.11.2023,11:46,Tolka,Protected side,3D Mapping,"Anders, Devis, Jonny, Gabi",12.461124,43.412022,12.461213,43.411193,-,,,,,,,,,,,,,,,
,,,,eDNA,"Guilhem, Ibrahim",12.46131667,43.41235,-,-,"2 x 17min on power 8; 2 cartouches; about 200m long each way; water temperature 28C; for the first filter, starts at 5.1m, and ends at 6m; for the second filter, starts at 6m, and ends at 5m; 50/60% hard coral cover; less than 10% bleaching.",,,,,,,,,,,,,,,
14.11.2023,16:01,Tolka,Exposed side,3D Mapping,"Anders, Devis, Jonny, Gabi",12.458933,43.413086,12.458409,43.412904,-,,,,,,,,,,,,,,,
,,,,MP,"Gabi, Ibrahim, Djama",12.458933,43.413086,-,-,-,,,,,,,,,,,,,,,
14.11.2023,19:00,Kadda Dabali,,eDNA,"Gabi, Jonny",12.4669,43.43145,-,-,-,,,,,,,,,,,,,,,
,,,,Echinoderms,"Guilhem, Manon, Jean-Michel",12.4669,43.43145,-,-,-,,,,,,,,,,,,,,,
15.11.2023,7:58,Horod le Rhale,Lagoon,3D Mapping,"Anders, Devis, Jonny, Gabi",12.452566,43.443604,-,-,-,,,,,,,,,,,,,,,
,,,,eDNA,"Guilhem, Ibrahim",12.45245,43.44318333,-,-,"2 filters, 17 min each; first filter starts at 3.5m, ends at 5m; second filter starts at 5m, and ends at 4m; water temperature 29C.",,,,,,,,,,,,,,,
15.11.2023,11:12,Horod le Rhale,Protected side,3D Mapping,"Anders, Devis, Jonny, Gabi",12.45503,43.439232,12.455855,43.439621,-,,,,,,,,,,,,,,,
,,,,SG / MP,"Guilhem, Manon, Ibrahim",12.45311667,43.44305,-,-,collection of SPIS and Pver (21 colonies from each).,,,,,,,,,,,,,,,
,,,,Symbionts,"Osama, Mustafa",12.45311667,43.44305,-,-,-,,,,,,,,,,,,,,,
15.11.2023,15:30,Hamra ,Exposed side,3D Mapping,"Anders, Devis, Jonny, Gabi",12.45893,43.366106,12.458363,43.365411,-,,,,,,,,,,,,,,,
,,,,eDNA,"Gabi, Ibrahim",12.4588,43.3665,-,-,-,,,,,,,,,,,,,,,
,,,,SG / Symbionts,"Guilhem, Manon",12.4588,43.3665,-,-,samples 21 Pver and 11 SPIS.,,,,,,,,,,,,,,,
16.11.2023,8:23,Ras Siyyan,Sand ,3D Mapping,"Anders, Devis, Jonny",12.482124,43.31663,12.482268,43.316203,-,,,,,,,,,,,,,,,
,,,,SG / MP,"Guilhem, Manon, Ibrahim",12.48196667,43.31643333,-,-,"low visibility; some Pver alive, very patchy; recent mortality of SPIS; 80% hard coral cover; 5% alive; water temperature 29C.",,,,,,,,,,,,,,,
,,,,Symbionts,"Osama, Mustafa",12.48196667,43.31643333,-,-,-,,,,,,,,,,,,,,,
16.11.2023,10:31,Ras Siyyan,Lagoon,3D Mapping,"Anders, Devis, Jonny",12.485126,43.304618,12.485582,43.304032,-,,,,,,,,,,,,,,,
,,,,eDNA,"Guilhem, Ibrahim",12.48513333,43.30451667,-,-,"Done around 3D mapping transect; water temprature 29C; 2 filters of 15 min each; 100% hard coral cover, 60% alive, no SPIS alive.",,,,,,,,,,,,,,,
17.11.2023,8:28,Obock,Ras Bir,3D Mapping,"Anders, Devis, Jonny, Gabi",11.976672,43.361306,11.976924,43.362169,-,,,,,,,,,,,,,,,
,,,,SG / MP,"Guilhem, Manon, Ibrahim",11.97688333,43.36078333,-,-,"All SPIS dead (recent); sampled Pver; high hard coral cover, low live coral cover.",,,,,,,,,,,,,,,
,,,,Symbionts,"Osama, Mustafa",11.97688333,43.36078333,-,-,-,,,,,,,,,,,,,,,
17.11.2023,11:06,Obock,Surcouffe,3D Mapping,"Anders, Devis, Jonny",11.964247,43.321497,11.96412,43.322387,-,,,,,,,,,,,,,,,
,,,,eDNA,Gabi,11.964247,43.321497,-,-,Done around 3D mapping transect; eDNA (2 filters for 15min) and Swabs.,,,,,,,,,,,,,,,
,,,,Echinoderms,Guilhem,11.96453333,43.32165,-,-,-,,,,,,,,,,,,,,,
17.11.2023,16:00,Maskali / Moucha,Sunken Buoy,eDNA,"Gabi, Jonny",11.69921667,43.1435,-,-,-,,,,,,,,,,,,,,,
,,,,eDNA,"Guilhem, Gabi",11.69603333,43.14428333,-,-,surface collection,,,,,,,,,,,,,,,
,,,,MP / Symbionts,"Guilhem, Devis",11.69921667,43.1435,-,-,Collecting remaining samples from day 1 (5 x SPIS; 3 x Pver; 1 x sediment). eDNA underwater (2 x filters for 15min); eDNA surface (2 x filters for 17 min). ,,,,,,,,,,,,,,,
20.11.2023,7:49,Maskali / Moucha,North Wall,3D Mapping,"Jonny, Gabi, Ibrahim",11.739134,43.196618,11.738827,43.197475,-,,,,,,,,,,,,,,,
20.11.2023,9:47,Maskali / Moucha,Buoy Air France,3D Mapping,"Jonny, Gabi, Ibrahim",11.735338,43.167548,11.736208,43.167631,-,,,,,,,,,,,,,,,
20.11.2023,12:19,Maskali / Moucha,Aquarium,3D Mapping,"Jonny, Gabi, Ibrahim",11.70308,43.162538,11.702758,43.163374,-,,,,,,,,,,,,,,,
20.11.2023,13:42,Maskali / Moucha,Sunken Buoy,3D Mapping,"Jonny, Gabi, Ibrahim",11.695606,43.144872,11.694692,43.144976,-,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GPS converter website:,https://latlongdata.com/lat-long-converter/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
